Rank,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,OVERALL,Count,Percentage
1,AREA,AREA,ERA,ERA,ORE,ERA,ELI,ERA,490,5.95%
2,ALOE,ALI,AREA,ERE,ARE,IRE,ERE,AREA,437,5.30%
3,ERIE,ERA,ONE,ALE,ONE,ATE,ERA,ERE,414,5.03%
4,ERA,ERIE,ORE,ATE,ERE,ETA,ETA,ONE,407,4.94%
5,ARIA,ARIA,ELI,ESS,ODE,ONE,ONE,ORE,388,4.71%
6,ELSE,ALE,ALE,ONE,STE,ERE,ARE,ELI,386,4.69%
7,ONE,ERE,ALOE,ADO,TEN,ALA,ALI,ALE,369,4.48%
8,ORE,ALOE,ETA,EAR,ERA,ENE,ATE,ERIE,358,4.35%
9,ERE,ATE,ADO,ACE,EDEN,ORE,ESS,ALI,357,4.33%
10,OLE,IDEA,ALI,AREA,ENE,ALE,OLE,ATE,356,4.32%
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
